Claim,Answer,Answer Type,claim_ERE,answer_ERE,Label,Annotation,sim_claim_answer,sim_context+event_sub,sim_context+event_obj,pol_context+event_sub,pol_context+event_object,pearson_context+event_sub,pearson_context+event_obj,relation_claim_answer,Colonne 1,pol_claim_answer,relation_subject,relation_object
"There is now a 10-year rule. If you damage a federal property such as courthouse, you go to jail for 10 years.",President Donald Trump signed an executive order Friday directing federal law enforcement agencies to prosecute people who damage federal monuments — and to withhold portions of federal funding to cities that don’t protect statues from demonstrators.,Extractive,"('damage', 'cause', 'jail')","('damage federal monuments', 'enable', 'prosecute')",Supported,1.0,0.4632773399353027,0.5513536930084229,0.5276134610176086,NN,NN,0.7955847992208618,0.7955847992208618,cause,,NN, cause., cause.
"There is now a 10-year rule. If you damage a federal property such as courthouse, you go to jail for 10 years.","The order directs the Department of Justice to “prosecute to the fullest extent permitted under Federal law” people who damage government monuments, participate in “efforts to incite violence,” or damage religious property. Damaging federal property can be punished by up to 10 years in prison.",Extractive,"('damage', 'cause', 'jail')","('damaging federal property', 'cause', 'punished')",Supported,1.0,0.6873688101768494,0.6736617088317871,0.6742509603500366,NN,NN,0.8843753567059367,0.8843753567059367,cause,,NN, cause., cause.
You can test too much for Covid-19.,"Frequent testing of the entire population would help identify so-called hidden hidden carriers — individuals infected with SARS-CoV-2, the virus that causes Covid-19, but who have no symptoms of it. They seem to play an important role in the spread of Covid-19. Identifying these silent spreaders could help public health workers be more effective at contract tracing by identifying others who have been exposed and may require quarantine.",Extractive,"('test', 'cause', 'covid-19')","('testing', 'enable', 'tracing')",Conflicting Evidence/Cherrypicking,1.0,0.5246517658233643,0.4876367449760437,0.5323669910430908,PN,PP,0.7172743903957013,0.7172743903957013,cause,,NN, enable., enable.
You can test too much for Covid-19.,"There are also the harms of Covid-19 testing to consider.

Perhaps the biggest challenge is false negatives — tests signaling no infection in those who are indeed infected. Covid-19 testing is typically performed on samples from behind the nose or in the back of the mouth, and will be positive only if the sample happens to contain the virus. In some people, the virus may be present in high quantities only deep in the lungs. False negatives occur surprisingly often — perhaps as often as one-third of the time — which could lead to a false sense of security among those with such results.

Testing those without symptoms can also lead to false alarms. PCR testing for the virus, which is the best way to identify an active infection, can detect the presence of SARS-CoV-2 — or remnants of it — for weeks, even when the infection is unlikely to be transmitted to others. Testing the entire population would undoubtedly identify a large number of such individuals, unnecessarily sidelining them from work and society.",Extractive,"('test', 'cause', 'covid-19')","('testing', 'cause', 'sidelining')",Conflicting Evidence/Cherrypicking,1.0,0.6174655556678772,0.5723090171813965,0.627177894115448,PN,PN,0.7202022000305703,0.7202022000305703,cause,,NN, enable., cause.
"With African Americans, Trump is doing very well. They had the best employment numbers they’ve ever had. ... They were making more money than they ever made.","High employment under Trump led to minorities experiencing the largest income gains. Real median income grew by 7.9% for Blacks in 2019. That outpaced 2018’s income growth of 2.6% and 2017’s income decline of -2.4%. Notably, Black median income growth last year surpassed income growth rates under the Obama administration. There’s still more work to do though. Although Black median income hit a new high, Blacks earned the lowest income level of all groups (just over $45,000 a year)",Extractive,"('making', 'cause', 'doing')","('employment', 'cause', 'experiencing  the largest income gains')",Supported,6.0,0.6971099376678467,0.7097377777099609,0.668077826499939,PP,PP,0.8185094735128473,0.8185094735128473,cause,,PP, enable., enable.
Reports as recent as 2017 reported 92% prevalence of blood lead poisoning in children from some villages in the Nigerian state of Zamfara.,Gold rush triggers deadly lead poisoning in Nigeria,Extractive,"('lead', 'cause', 'poisoning')","('gold rush', 'cause', 'deadly lead poisoning in nigeria')",Supported,6.0,0.7212498784065247,0.7213168740272522,0.8064935803413391,PP,NN,0.8298217475302749,0.8298217475302749,cause,,NN, enable., cause.
Your face will become exposed to the virus if you wear your mask on your chin.,Wearing a cloth face covering correctly can help prevent the spread of COVID19 to others.,Extractive,"('wear your mask on your chin', 'cause', 'exposed')","('Wearing a cloth face covering correctly', 'prevent', 'spread')",Supported,1.0,0.7294792532920837,0.6938366889953613,0.7159183025360107,PN,PN,0.8637882216388348,0.8637882216388348,cause,,NN, prevent., enable.
Those most susceptible to the radiation from 5G technology are fetuses in utero and children.,"Like FM radio waves, microwaves, visible light, and heat, they are forms of non-ionizing radiation. This means they do not directly damage the DNA inside cells, which is how stronger (ionizing)",Extractive,"('those most susceptible to the radiation from 5g technology', 'cause', 'fetuses in utero and children')","('non-ionizing', 'prevent', 'damage')",Refuted,1.0,0.4868789911270141,0.5112151503562927,0.4922581017017364,NN,NN,0.7970022964084933,0.7970022964084933,cause,,NN, no relation., cause.
"Due to their exterior anatomy, male testicles are especially susceptible to 5G radiation, which lowers sperm count. Just the same, cellular radiation kills off irreplaceable eggs in females.","According to the Food and Drug Administration (FDA) and expert studies, there is nothing to suggest that the 5G mmWave is a significant health risk.",Abstractive,"('5g', 'cause', 'radiation kills off irreplaceable eggs in females')","('mmwave', 'prevent', 'health risk')",Refuted,1.0,0.2599139213562011,0.2592029571533203,0.2398106753826141,PP,NN,0.7521930497929858,0.7521930497929858,cause,,NN, enable., cause.
Counties in Kenya are striving to reach the 10% budget allocation to agriculture recommended by the Malabo declaration.,"Kenya is suffering due to failure to implement commitments in agricultural development at national, regional and international level",Extractive,"('allocated', 'enable', 'reach')","('failure', 'cause', 'suffering')",Refuted,1.0,0.5383625030517578,0.5825532674789429,0.5801505446434021,PN,PN,0.8695274969444426,0.8695274969444426,cause,,PN, intend., enable.
Man dies at the R N Cooper Hospital in Mumbai due to medical negligence.,Hospital mgmt did what was prescribed under ICMR guidelines & patient was immediately admitted and was given the required treatment. So this is not true that there was some carelessness by the hospital.,Extractive,"('medical negligence', 'cause', ' man dies')","('required treatment', 'cause', 'prescribed under ICMR guideline')",Refuted,6.0,0.4344241023063659,0.5496901273727417,0.5065929889678955,PN,NN,0.825465734659943,0.825465734659943,cause,,NN, cause., cause.
"Greenhouse gases emitted into the ocean are causing more holes in the ozone layer; the ozone layer has holes in it, causing global temperatures to rise.",...bromine gases from human-produced chlorofluorocarbons (CFCs) and halons have destroyed ozone molecules.,Extractive,"('greenhouse gases emitted ', 'cause', 'holes in the ozone layer')","('chlorofluorocarbon', 'cause', 'destroyed ozone')",Refuted,6.0,0.4817195534706116,0.4620567560195923,0.5082336068153381,PP,NN,0.8179765890067756,0.8179765890067756,cause,,NN, cause., cause.
"Greenhouse gases emitted into the ocean are causing more holes in the ozone layer; the ozone layer has holes in it, causing global temperatures to rise.","The main driver of climate change is the greenhouse effect. Some gases in the Earth's atmosphere act a bit like the glass in a greenhouse, trapping the sun's heat and stopping it from leaking back into space and causing global warming.

Many of these greenhouse gases occur naturally, but human activities are increasing the concentrations of some of them in the atmosphere, in particular:

carbon dioxide (CO2)
methane
nitrous oxide
fluorinated gases
CO2 produced by human activities is the largest contributor to global warming. By 2020, its concentration in the atmosphere had risen to 48% above its pre-industrial level (before 1750).",Extractive,"('greenhouse gases emitted ', 'cause', 'holes in the ozone layer')","('CO2 produced by human activities', 'cause', ' global warming')",Refuted,1.0,0.7260655760765076,0.6852552890777588,0.6931253671646118,PP,PN,0.9133720683265524,0.9133720683265524,cause,,NN, cause., cause.
"Medical experts from the World Health Organization (WHO), US Centers for Disease Control and Prevention (CDC) and The New England Journal of Medicine have warned against wearing face masks because they can cause “severe health issues”.","Masks are a key measure to suppress transmission and save lives.

Masks should be used as part of a comprehensive ‘Do it all!’ approach including physical distancing, avoiding crowded, closed and close-contact settings, good ventilation, cleaning hands, covering sneezes and coughs, and more.

Depending on the type, masks can be used for either protection of healthy persons or to prevent onward transmission.",Extractive,"('face masks', 'cause', '“severe health issues”')","('masks', 'enable', 'suppress transmission and save lives')",Refuted,1.0,0.7057281732559204,0.7307075262069702,0.7416307926177979,NN,NN,0.8553181241468213,0.8553181241468213,cause,,NN, prevent., prevent.
COVID-19 vaccine is DNA-altering and has been fast-tracked through safety qualifications.,"No, none of the vaccines alter one’s DNA",Extractive,"('vaccine', 'enable', 'DNA-altering')","('vaccines', 'prevent', 'alter')",Refuted,6.0,0.545803964138031,0.5238547325134277,0.6016074419021606,PP,PN,0.8243568462336057,0.8243568462336057,cause,,NN, intend., cause.
Washing glasses with soap will prevent lenses from fogging whilst wearing a mask.,"Immediately before wearing a face mask, wash the spectacles with soapy water and shake off the excess. Then, let the spectacles air dry or gently dry off the lenses with a soft tissue before putting them back on. Now the spectacle lenses should not mist up when the face mask is worn.",Extractive,"('washing glasses with soap', 'prevent', 'fogging whilst wearing a mask')","('wash', 'prevent', 'mist')",Supported,6.0,0.837881863117218,0.8270028829574585,0.8002920746803284,NN,NN,0.8659715720983421,0.8659715720983421,cause,,NN, enable., enable.
US Businesses that refuse any legal tender can be fined and sued.,The business and or establishments would get levy fines against them if they refuse cash payment.,Abstractive,"('refuse', 'cause', 'fined')","('refuse', 'cause', ' get levy fines')",Supported,1.0,0.7401495575904846,0.7347936630249023,0.7210249304771423,NN,NN,0.9006859608841609,0.9006859608841609,cause,,NN, no relation., cause.
US Businesses that refuse any legal tender can be fined and sued.,"This bill will prohibit food-service and retail establishments from
refusing to accept cash as a form of payment. It would also levy fines
against establishments if they refuse cash payment.",Extractive,"('refuse', 'cause', 'fined')","('refuse', 'cause', 'impose')",Supported,1.0,0.5141956806182861,0.5507170557975769,0.5237383246421814,NN,NN,0.8624707095037429,0.8624707095037429,cause,,NN, no relation., cause.
The Democrats want to rejoin the Paris Climate Accord and seek an even higher level of restrictions on climate change.,"We will rejoin the Paris Climate Agreement and, on day one, seek higher ambition from nations around the world, putting the United States back in the position of global leadership where we belong.",Extractive,"('rejoin', 'enable', 'restrictions')","('rejoin', 'enable', 'seek')",Supported,1.0,0.6595109701156616,0.7407774925231934,0.6283544301986694,PP,PN,0.8890249087716029,0.8890249087716029,cause,,NN, no relation., intend.
"Peter Navarro said a Covid-19 study “showed an astonishing 50% reduction in the mortality rate for patients taking hydroxychloroquine,”","In this observational study involving patients with Covid-19 who had been admitted 
to the hospital, hydroxychloroquine administration was not associated with either a 
greatly lowered or an increased risk of the composite end point of intubation or 
death. Randomized, controlled trials of hydroxychloroquine in patients with Covid-19 
are needed. (Funded by the National Institutes of Health.",Extractive,"('hydroxychloroquine', 'prevent', 'mortality')","('hydroxychloroquine', 'prevent', 'lowered or an increased risk')",Conflicting Evidence/Cherrypicking,,0.7234359979629517,0.6750713586807251,0.698785662651062,NN,NN,,,,,NN, no relation., cause.
"Peter Navarro said a Covid-19 study “showed an astonishing 50% reduction in the mortality rate for patients taking hydroxychloroquine,”","Hydroxychloroquine belongs to the family of medicines called “antimalarials” (AMs), which are also classified as disease-modifying anti-rheumatic drugs, or DMARDs. These drugs were initially used to prevent and to treat malaria but are no longer used for those purposes and are now often used for lupus.",Extractive,"('hydroxychloroquine', 'prevent', 'mortality')","('hydroxychloroquine', 'prevent', 'malaria')",Conflicting Evidence/Cherrypicking,6.0,0.5989956855773926,0.5714534521102905,0.5927115678787231,NN,NN,0.8323011224527761,0.8323011224527761,cause,,NN, no relation., cause.
People are developing fungal lung infections due to wearing face masks.,"Wearing a mask does not cause fungal infections in the lungs,"" said Dr. Ranit Mishori, professor of family medicine at Georgetown University School of Medicine. """,Extractive,"('wearing', 'cause', 'developing')","('mask', 'prevent', 'fungal infections')",Refuted,1.0,0.7738088369369507,0.7929384112358093,0.773572564125061,PN,PN,0.8318031016913849,0.8318031016913849,cause,,PN, prevent., cause.
Herbal drink made of snake grass can cure cancer by killing cancer cells in 24 hours.,the leaf extract of the Snake Grass was not very effective in inhibiting growth of cancer cells.,Extractive,"('herbal drink made of snake grass', 'cause', 'cure cancer')","('leaf extract', 'prevent', 'inhibiting growth of cancer cells')",Refuted,6.0,0.7858331203460693,0.7758527994155884,0.7701197266578674,PP,PN,0.877033372638337,0.877033372638337,cause,,NN, enable., enable.
The US Centers for Disease Control and Prevention has said that bubonic plague can be spread through cough droplets.,The bite of an infected flea causes the infection to spread.,Abstractive,"('cough', 'cause', 'droplets bubonic plague')","('the bite of an infected flea', 'cause', 'spread')",Conflicting Evidence/Cherrypicking,1.0,0.4333725571632385,0.3982325792312622,0.4101578295230865,NN,PN,0.8283358246769694,0.8283358246769694,cause,,NN, cause., cause.
Bubonic plague is “airborne” and “can be spread when an infected person coughs.”,It can be spread by Inhaling infected respiratory droplets spread by infected people or animals The infection could also enter the body through a cut in the skin if the person came in close contact with an infected animal's blood.,Extractive,"('coughs', 'cause', 'spread')","('inhaling', 'cause', 'spread')",Conflicting Evidence/Cherrypicking,1.0,0.5144561529159546,0.5277549028396606,0.557277500629425,PN,PP,0.8816268831513909,0.8816268831513909,cause,,PN, cause., no relation.
"Dr. Kary B. Mullis, Nobel Laureate and inventor of the Polymerase Chain Reaction (PCR) test used to detect coronavirus said it couldn't be used for virus detection.","RT-PCR tests are considered the gold standard for detecting many viruses, and a number of companies are making them. Researchers at the Foundation for Innovative New Diagnostics, a nonprofit research center in Geneva, tested five COVID-19 RT-PCR tests and found that all five achieved 100% sensitivity on positive samples, and at least 96% specificity on negative samples in a laboratory setting.",Extractive,"('polymerase chain reaction', 'prevent', 'detect')","('rt-pcr', 'enable', 'detecting')",Refuted,1.0,0.6433303952217102,0.7008005380630493,0.6915404200553894,PN,PP,0.8502932039075524,0.8502932039075524,cause,,NN, enable., enable.
Drinking water will protect you from COVID-19.,"While staying hydrated by drinking water is important for overall health, it does not prevent coronavirus infection.",Extractive,"('drinking', 'intend', 'protect')","('hydrated', 'prevent', 'prevent coronavirus infection')",Refuted,1.0,0.7313029766082764,0.7351019382476807,0.6781395077705383,PN,PN,0.7773370302032845,0.7773370302032845,cause,,PN, enable., intend.
The US Annual Arms Control Compliance Report  Blocking negotiation of the  Biological Weapons Convention (BWC) verification protocol.,"The United States delivered a 10-page statement in which it said:
After extensive deliberation, the United States has
concluded that the current approach to a Protocol to the
Biological Weapons Convention, ... is not, in our view,
capable of achieving the mandate set forth for the Ad Hoc
Group, strengthening confidence in compliance with the
Biological Weapons Convention. ... We believe the
objective of the mandate was and is important to
international security, we will therefore be unable to support
the current text, even with changes, as an appropriate
outcome of the Ad Hoc Group efforts.",Extractive,"(' Arms Control Compliance Report ', 'prevent', 'negotiation')","('concluded', 'prevent', 'support the current ')",Supported,1.0,0.7548062801361084,0.7462904453277588,0.7768673300743103,PN,PN,0.8441297831728747,0.8441297831728747,cause,,NN, enable., enable.
U.S. coronavirus cases are increasing because more people are being tested for the virus.,public health specialists have repeatedly said the data does not indicate that increased testing accounts for the recent surge in daily new cases.,Extractive,"('tested', 'cause', 'increasing')","('testing', 'prevent', 'surge')",Refuted,1.0,0.4681814014911651,0.541975736618042,0.5475836992263794,PP,PP,0.8543180896137699,0.8543180896137699,cause,,PN, enable., cause.
"President Trump said coronavirus testing makes the U.S. look bad, ""so I said to my people, ‘Slow the testing down.’""","“I personally think testing is overrated, even though I created the greatest testing machine in history,” Trump said, arguing that more tests means more confirmed cases. “In many ways, it makes us look bad.”",Extractive,"('testing', 'cause', 'look bad')","('tested', 'cause', 'confirmed')",Supported,6.0,0.6946102380752563,0.7220748662948608,0.6692020893096924,PP,PN,0.8976076672965405,0.8976076672965405,cause,,NN, enable., no relation.
"President Trump said coronavirus testing makes the U.S. look bad, ""so I said to my people, ‘Slow the testing down.’""","“When you do testing to that extent, you’re gonna find more people, you’re gonna find more cases. So I said to my people ‘slow the testing down, please,’” Trump said at the rally.",Extractive,"('testing', 'cause', 'look bad')","('testing', 'cause', 'find more cases')",Supported,6.0,0.7667100429534912,0.7752238512039185,0.6919388771057129,PP,NN,0.9153833170871764,0.9153833170871764,cause,,NN, no relation., intend.
Since the COVID-19 crisis there has been disinformation on a scale we have never seen before.,"In April 2020 alone, Facebook had 50 million reports of misleading content, and fact checking requests have increased significantly.",Abstractive,"('covid-19 crisis', 'cause', 'disinformation')","('reports of misleading content', 'cause', ' fact checking requests have increased  increased')",Supported,6.0,0.541959822177887,0.5158261060714722,0.5057904124259949,NN,PN,0.7615117912847182,0.7615117912847182,cause,,NN, cause., prevent.
Since the COVID-19 crisis there has been disinformation on a scale we have never seen before.,"According to a study conducted by the Reuters Institute for the Study of Journalism on misinformation around COVID-19, between January 2020 and March 2020, the number of pieces of information fact-checking in English increased by 900%",Abstractive,"('covid-19 crisis', 'cause', 'disinformation')","('COVID-19', 'cause', 'fact-checking in English increased')",Supported,6.0,0.6686686873435974,0.7115825414657593,0.6352216601371765,PN,PN,0.785050061378648,0.785050061378648,cause,,NN, cause., prevent.
Public Health England issued new guidance that encourages the public to consider taking vitamin D supplements during community lockdownds due to COVID19,"In April 2020, the NHS issued a statement, based on recommendations from Public Health England (PHE), that we should all consider taking 10 mcg/day vitamin D as a supplement, to keep our bones and muscles healthy.

This advice has been issued now, largely because of the restrictions imposed by quarantine and lockdown.",Extractive,"('guidance', 'enable', 'taking')","('issued a statement', 'enable', ' taking 10 mcg/day vitamin D ')",Supported,1.0,0.6606114506721497,0.7364974021911621,0.6723283529281616,PP,PN,0.9129150483203468,0.9129150483203468,cause,,PN, enable., no relation.
Pregnant women are not more susceptible to COVID-19.,"Pregnant women might be at increased risk for severe COVID-19 illness. To reduce severe COVID-19–associated illness, pregnant women should be aware of their potential risk for severe COVID-19 illness. Prevention of COVID-19 should be emphasized for pregnant women and potential barriers to adherence to these measures need to be addressed.",Extractive,"('pregnant', 'prevent', 'susceptible')","('pregnant women ', 'enable', ' increased risk for severe COVID-19')",Conflicting Evidence/Cherrypicking,6.0,0.7134820222854614,0.7623227834701538,0.7634166479110718,NN,PN,0.8135418682564648,0.8135418682564648,cause,,NN, intend., cause.
Pregnant women are not more susceptible to COVID-19.,"The overall risk of COVID-19 to pregnant women is low. However, pregnant women who have COVID-19 appear more likely to develop respiratory complications requiring intensive care than women who aren't pregnant, according to the Centers for Disease Control and Prevention. Pregnant women are also more likely to be placed on a ventilator. In addition, pregnant women who are Black or Hispanic appear to be disproportionately affected by infection with the COVID-19 virus.

Risk factors for severe COVID-19 during pregnancy include older maternal age, a high body mass index and pre-existing diabetes or hypertension.",Extractive,"('pregnant', 'prevent', 'susceptible')","('COVID-19 to pregnant women', 'prevent', 'risk')",Conflicting Evidence/Cherrypicking,6.0,0.6681594848632812,0.7532988786697388,0.72283935546875,NN,PN,0.798139413784412,0.798139413784412,cause,,NN, cause., enable.
The low-cost steroid dexamethasone is a “life-saving” drug for COVID-19 patients.,"Department of Health on Wednesday advised the public to be cautious in interpreting the preliminary study findings that steroid drug dexamethasone can reduce the risk of the sickest patients dying from coronavirus disease.

DOH expressed concern that this discovery might lead people to ‘think it is a magic pill for COVID-19.’",Extractive,"('dexamethasone', 'of', 'drug instance')","('dexamethasone', 'prevent', 'coronavirus disease')",Conflicting Evidence/Cherrypicking,6.0,0.8143858909606934,0.8160436153411865,0.8124374151229858,PP,NN,0.8744577809596308,0.8744577809596308,cause,,NN, no relation., cause.
The low-cost steroid dexamethasone is a “life-saving” drug for COVID-19 patients.,"Dexamethasone is the first drug to be shown to improve survival in COVID-19. This is an extremely welcome result. The survival benefit is clear and large in those patients who are sick enough to require oxygen treatment, so dexamethasone should now become standard of care in these patients. Dexamethasone is inexpensive, on the shelf, and can be used immediately to save lives worldwide.",Extractive,"('dexamethasone', 'cause', 'life-saving drug for COVID-19 ')","('dexamethasone', 'enable', 'save lives')",Conflicting Evidence/Cherrypicking,6.0,0.8691272735595703,0.8637938499450684,0.8736796379089355,PP,PP,0.9186536090442186,0.9186536090442186,cause,,PN, no relation., enable.
